,Title,Published_date,Views,Likes,duration,Comments,durationSecs,Month
39,"Vaani Kapoor Opens Up On Her Relationship With Co-Stars, Bollywood & Happiness, The Ranveer Show 221",2022-07-22,296238,9086,PT35M20S,601,2120.0,Jul
40,FREE Fat Burning Diet Plan For Men & Women - @Luke CoutinhoHealth Coaching | The Ranveer Show 220,2022-07-19,712719,24331,PT1H18M31S,984,4711.0,Jul
41,"India’s Best Fitness Coach Basu Shanker On Training Kohli, Karthik, Ashwin... | The Ranveer Show 219",2022-07-15,702383,20166,PT51M9S,759,3069.0,Jul
42,Abhijit Chavda: America’s Dark Truth HIDDEN From The World Population | The Ranveer Show 218,2022-07-12,848122,33708,PT1H22M18S,4000,4938.0,Jul
43,SCARY Future Of Bio-Tech - Black Mirror Is COMING ⚠️💀 | @Sid Warrier | The Ranveer Show 217,2022-07-08,195568,7583,PT1H8M58S,445,4138.0,Jul
44,Cold War Conspiracy Theories - Abhijit Chavda Explains USA Vs. Russia 1950-1990 | TheRanveerShow 216,2022-07-05,360984,14673,PT53M40S,1312,3220.0,Jul
45,"Conversation With An Astronaut - Space, Aliens & The Future | Sirisha Bandla | The Ranveer Show 215",2022-07-01,249923,10926,PT53M49S,736,3229.0,Jul
46,"World War 2 - Abhijit Chavda On Hitler, Conspiracies & Untold Outcomes | The Ranveer Show 214",2022-06-28,1370397,39359,PT1H30M41S,3216,5441.0,Jun
47,"Sonali Bendre Opens Up On Life's 2nd Chance, 4th Stage Cancer & Bollywood | The Ranveer Show 213",2022-06-24,392866,11093,PT59M53S,679,3593.0,Jun
48,Left Sweden To Build A Multi-Million Dollar Career In India ft. Cecilia Oldne | The Ranveer Show 212,2022-06-21,291659,10060,PT48M23S,565,2903.0,Jun
49,Love & S*x According To Biology - Neurologist Sid Warrier Explains | The Ranveer Show 211,2022-06-17,377470,14580,PT1H4M13S,496,3853.0,Jun
50,Nirvana & Neuroscience - Spiritual Master Dadashreeji Opens Up | The Ranveer Show 210,2022-06-14,271632,10755,PT33M5S,814,1985.0,Jun
51,Indian Army's SUPERWOMAN - Dr. Seema Rao - Commando Trainer | The Ranveer Show 209,2022-06-11,94854,4511,PT34M14S,237,2054.0,Jun
52,Jose Covaco Talks About Being Hoezaay | KaanMasti On #TheRanveerShow 208,2022-06-07,136043,6267,PT34M52S,635,2092.0,Jun
53,"Dropout At 13, Millionaire At 20 - Inspiring Vishnu Prasath Story | The Ranveer Show 207",2022-06-03,150008,7258,PT46M5S,404,2765.0,Jun
54,"Ananya Panday Opens Up On Books, Anxiety, Ambition & Life | The Ranveer Show 206",2022-05-31,504749,15936,PT52M55S,2133,3175.0,May
55,The World is F*cked - Abhijit Chavda Geopolitics Update | The Ranveer Show 205,2022-05-27,1328680,49482,PT1H12M9S,4850,4329.0,May
56,"Saket Modi Explains Behind the Scenes of Blockchain, Web3, Crypto World | The Ranveer Show 204",2022-05-24,131035,6500,PT55M21S,600,3321.0,May
57,My 6 Tattoos And Why I Got Them | The Ranveer Show 203,2022-05-20,141404,7912,PT23M56S,385,1436.0,May
58,How To Become A Bollywood Star - Casting Director Panchami Ghavri | The Ranveer Show 202,2022-05-17,143542,4748,PT1H4M46S,577,3886.0,May
59,"Kiara Advani On Relationships, Long-Term Love & Psychology | The Ranveer Show 201",2022-05-13,1129637,46018,PT49M9S,1678,2949.0,May
60,Can A Youtuber Become A Billionaire? BeerBiceps and Manish Pandey | The Ranveer Show 200,2022-05-10,151959,7287,PT55M13S,601,3313.0,May
61,"Prateek Kuhad Opens Up - Love, Criticism, Growth & Everything In Between | The Ranveer Show 199",2022-05-06,103181,4068,PT52M22S,225,3142.0,May
62,#mentoo Rights and Laws Explained ft. Deepika Bhardwaj | The Ranveer Show 198,2022-05-03,211146,12473,PT1H11M9S,1325,4269.0,May
63,Must Watch For All 20-45 YOs | Money Mistakes You Make ft. Sandeep Jethwani | The Ranveer Show 197,2022-04-29,365285,13307,PT49M40S,513,2980.0,Apr
64,"Ajay Devgn Opens Up On His Bollywood Career, Family Life & Success | The Ranveer Show 196",2022-04-26,438326,17766,PT37M30S,1468,2250.0,Apr
65,Want To Evolve To Your Next Form? Amogh Lila Prabhu On Spiritual Evolution | The Ranveer Show 195,2022-04-22,340258,17995,PT44M42S,1030,2682.0,Apr
66,Shahid Kapoor - Dark Horse Of Bollywood | The Ranveer Show 194,2022-04-19,708183,34313,PT32M53S,1095,1973.0,Apr
67,"Sanjay Dutt Opens Up On Drugs, Jail & Cancer | The Ranveer Show 193",2022-04-15,1261649,63617,PT29M31S,1856,1771.0,Apr
68,5 TV Shows That I Recommend To EVERYONE - 2022 Version | The Ranveer Show 192,2022-04-12,171330,7939,PT13M2S,419,782.0,Apr
69,26/11 Terror Attacks Broken Down By Chief Strategist IPS Sivanandhan | The Ranveer Show 191,2022-04-08,309947,15956,PT40M19S,637,2419.0,Apr
70,1 Life-Changing Advice My Mom Gave Me,2022-04-05,124329,7238,PT5M1S,132,301.0,Apr
71,Why Short Content Is Killing My Career | The 2022 Social Media Manual | The Ranveer Show 190,2022-04-01,83697,5610,PT16M47S,218,1007.0,Apr
72,2 Smartest Friends Teach Me Big Money Secrets ft. Ayush & Yash | The Ranveer Show 189,2022-03-29,86149,3706,PT48M15S,249,2895.0,Mar
73,Secrets Of John Abraham You Didn't Know About | The Ranveer Show 188,2022-03-25,611804,31398,PT43M52S,1854,2632.0,Mar
74,"Is India Secular? Writer Ashwin Sanghi On History, Politics & Storytelling | The Ranveer Show 187",2022-03-22,120094,5408,PT1H5M37S,891,3937.0,Mar
75,How To Become Rich - Banker Explains Money Multiplication Hacks | Nikhil A | TheRanveerShow 186,2022-03-19,177270,6520,PT1H3M14S,545,3794.0,Mar
76,My HONEST Business Case Study - Strategies & Secrets - BeerBiceps TRUE Story | The Ranveer Show 185,2022-03-15,140346,7228,PT17M21S,333,1041.0,Mar
77,"Sikhism From A 2022 Perspective, Spirituality & Guru Nanak’s Gift @Nanak Naam| The Ranveer Show 184",2022-03-11,199122,10029,PT1H11M47S,1284,4307.0,Mar
78,"My Life As An Adventurer - Ghosts, Mountains & Animal Death, Dr. Saurabh Rane | The Ranveer Show 183",2022-03-08,467827,19936,PT47M28S,639,2848.0,Mar
79,Sadhguru's Message For Young Citizens Of The World | Save Soil | The Ranveer Show 182,2022-03-04,681884,35395,PT57M3S,1949,3423.0,Mar
80,40 Lakhs+ Pay Packages Without a College Degree? Watch This ft Pratham Mittal | The Ranveer Show 181,2022-03-01,389654,16929,PT1H24M7S,910,5047.0,Mar
81,"Dear Indian Women, Dr. Kiran Bedi Has A Lot To Say To You | The Ranveer Show 180",2022-02-25,121231,6900,PT1H2M45S,433,3765.0,Feb
82,State Of War Between Russia & Ukraine Explained By Abhijit Chavda | The Ranveer Show 179,2022-02-23,767641,35581,PT41M8S,1878,2468.0,Feb
83,"Jemimah Rodrigues On Women In Sports, IPL & World Cup | The Ranveer Show 178",2022-02-22,181658,8868,PT56M52S,486,3412.0,Feb
84,Aghoris Explained - Black Magic & Spiritual Growth ft. Mayur Kalbag | The Ranveer Show 177,2022-02-18,702611,30529,PT1H2M6S,1682,3726.0,Feb
85,Earn ₹10 Lakh Monthly - 6 High Paying Jobs Of The Metaverse | BeerBiceps Web3,2022-02-15,233892,13169,PT15M35S,632,935.0,Feb
86,My Failed Love Life - Explained By My Best Friend Nandini Shenoy | The Ranveer Show 176,2022-02-14,413577,15473,PT42M48S,681,2568.0,Feb
87,Shakun Batra On The Process Of Filmmaking & Direction | Secrets Of Bollywood | The Ranveer Show 175,2022-02-11,127344,3712,PT1H31M11S,270,5471.0,Feb
88,"Insults, Love & Crazy Pop-Culture References By Nandini & Viraj | The Ranveer Show 174",2022-02-10,95307,3578,PT56M14S,305,3374.0,Feb
89,ZERODHA's Nikhil Kamath On How To Make MONEY In 2022 | The Ranveer Show 173,2022-02-08,117292,4742,PT1H20M46S,629,4846.0,Feb
90,College Failures To Successful Entrepreneurs ft. Varun Duggi & Viraj Sheth | The Ranveer Show 172,2022-02-04,101934,4190,PT1H11M42S,376,4302.0,Feb
91,BeerBiceps DREAM House Tour 🏠,2022-02-02,1652510,60204,PT21M31S,2191,1291.0,Feb
92,UNKNOWN & Unexplored Side Of The Creator Economy ft. Viraj Sheth | The Ranveer Show 171,2022-01-28,133084,6545,PT54M26S,577,3266.0,Jan
93,A Day In The Life Of An IAS Officer ft. Mr. Vivek Atray | The Ranveer Show 170,2022-01-25,139589,6176,PT42M49S,483,2569.0,Jan
94,"Real TRUTH Behind Mahabharata, Ramayana & Spaceships ft. Dr. Vineet |The Ranveer Show 169",2022-01-21,1482994,55775,PT1H12M9S,3473,4329.0,Jan
95,Shaolin Warrior Monk Harshh Verma Shares His Experience In China | The Ranveer Show 168,2022-01-18,194154,8281,PT1H22M1S,627,4921.0,Jan
96,Your Phones/Computers Are Hacked - Saket Modi On Cyber Crime | The Ranveer Show 167,2022-01-14,498173,22448,PT1H38M18S,1160,5898.0,Jan
97,Air Force Veteran Anil Chopra Shares War Stories & Secrets | Air Force 🇮🇳 | The Ranveer Show 166,2022-01-11,155739,6869,PT1H15M21S,528,4521.0,Jan
98,"India's NEXT BIG Global Moment - Economy, Policies & Military ft. Dr. Pillai | The Ranveer Show 165",2022-01-07,231634,11970,PT1H6M37S,991,3997.0,Jan
99,Swami Mukundananda - What Dark Energies & Hatred Can Do To You? | The Ranveer Show 164,2022-01-04,469943,21744,PT1H11M36S,1547,4296.0,Jan
100,Facts About Drugs You Didn't Know | WEED Explained By Neurologist Dr. Sid | The Ranveer Show 163,2021-12-31,629810,19880,PT1H15M9S,1066,4509.0,Dec
101,IAS Vivek Atray Shares His Experience On Spirituality & Meditation | The Ranveer Show 162,2021-12-28,305884,13154,PT22M16S,764,1336.0,Dec
102,Crime World & Police - What Happened In The 1990s In Mumbai | IPS Sivanandhan | The Ranveer Show 161,2021-12-24,401460,18486,PT1H20M19S,1191,4819.0,Dec
103,Left Bollywood Industry For Tiger Conservation - Hans Dalal’s Crazy Stories | The Ranveer Show 160,2021-12-21,207884,9705,PT1H18M14S,436,4694.0,Dec
104,Left Brain Vs Right Brain - Dr. Sid Warrier On Insanity & Brain Secrets | The Ranveer Show 159,2021-12-17,456136,20011,PT1H24M57S,1077,5097.0,Dec
105,"The All New Indian Army, Fire Power & Technology ft. Maj. Gen. G.D. Bakshi | The Ranveer Show 158",2021-12-13,371800,20983,PT1H3M3S,1016,3783.0,Dec
106,All You Need To Know About Metaverse - Explained SIMPLY ft. Anshul Rustaggi | The Ranveer Show 157,2021-12-10,413674,16929,PT1H20M6S,989,4806.0,Dec
107,India Will Lead In E-Sports & Blockchain ft. Anshul Rustaggi | The Ranveer Show 156,2021-12-07,183419,8310,PT1H3M17S,372,3797.0,Dec
108,"Abhishek Bachchan Opens Up On Parenthood, Film Career & Family | The Ranveer Show 155",2021-12-03,656374,20392,PT57M20S,1161,3440.0,Dec
109,Himalayan Temple & Crazy Experiences | Honest Story Of My Visit To A Shaktipeeth @Sushant Divgikar,2021-11-30,231335,13426,PT7M41S,439,461.0,Nov
110,Plan Retirement By Investing In Stock - Master Tips ft. @Vivek Bajaj | The Ranveer Show 154,2021-11-26,254482,10044,PT1H6M28S,787,3988.0,Nov
111,10 Sure-Shot Money Making Tips Of 2022 ft. Viraj Sheth | The Ranveer Show 153,2021-11-23,336023,21230,PT30M45S,692,1845.0,Nov
112,Got Attacked By A Shark - Captain Sid On Escaping Death ft. Captain Sid | The Ranveer Show 152,2021-11-19,131840,6272,PT32M59S,191,1979.0,Nov
113,Sea Captain Shares His INSANE Adventure Stories ft. Siddharth Chakravarty | The Ranveer Show 151,2021-11-16,159531,7189,PT1H5M20S,248,3920.0,Nov
114,Inside The Mind Of A Mad Scientist - Abhijit Chavda On Science Fiction & Math | The Ranveer Show 150,2021-11-12,401040,18331,PT1H8M12S,1449,4092.0,Nov
115,Rs.2.5 Lakhs+ Jobs Without A College Degree - This is How | The Ranveer Show 149,2021-11-05,821804,15359,PT58M53S,741,3533.0,Nov
116,My Conversations With God 🙏 | BeerBiceps Spirituality - Ask Ranveer,2021-11-02,110757,8543,PT3M44S,569,224.0,Nov
117,The INSANE LIFE Of Shalini Vadhera | Ready Set Jet | The Ranveer Show 148,2021-10-29,79517,2866,PT1H23M44S,175,5024.0,Oct
118,What Dying Feels Like & How To Prepare For It ft. Gauranga Das | Garud Puran | The Ranveer Show,2021-10-26,160106,9844,PT5M6S,483,306.0,Oct
119,Brain Hacks For Money & Growth With Neurologist Dr. Sid Warrier | The Ranveer Show 147,2021-10-22,1091533,47851,PT59M3S,1365,3543.0,Oct
