,Title,Published_date,Views,Likes,duration,Comments,durationSecs,Month
38,"When You're FEELING INSECURE, Watch This To Change EVERYTHING! | Jay Shetty",2022-06-24,26316,736,PT47M14S,83,2834.0,Jun
39,The MOST EYE OPENING Speech On Why You FEEL LOST & UNHAPPY In Life! | Dr. Rangan Chatterjee,2022-06-20,65818,2128,PT52M29S,60,3149.0,Jun
40,Khloe Kardashian's EYE OPENING Speech On How To MANIFEST ABUNDANCE! | Jay Shetty,2022-06-17,951204,24325,PT49M51S,1690,2991.0,Jun
41,"Before You WASTE Another Year Of Your Life Away, WATCH THIS! | Gary Vee & Jay Shetty",2022-06-13,181343,5867,PT36M38S,232,2198.0,Jun
42,The KEY HABITS All Successful People Have To ACHIEVE ANYTHING! | Patrick Bet David & Jay Shetty,2022-06-10,24866,781,PT1H7M9S,47,4029.0,Jun
43,Neha Kumar ON: Building Resilience to Negativity & How to Make Your Passions Practical,2022-06-06,23115,762,PT1H2M49S,46,3769.0,Jun
44,"If You Want To Find & Build The Perfect Relationship, WATCH THIS! | Jay & Radhi Shetty",2022-06-03,77793,2562,PT1H5M17S,76,3917.0,Jun
45,The SECRET To Success NOBODY SHARES! (This Will Change Everything) | Simu Liu & Jay Shetty,2022-05-30,66540,2509,PT59M55S,233,3595.0,May
46,2 Most Common Therapy Myths Debunked by a Real Therapist & How to Start Healing Your Inner Child,2022-05-27,38122,1284,PT51M35S,78,3095.0,May
47,Taylor Tomlinson ON: The Quarter-Life Crisis & How to Let Go of Toxic Relationships,2022-05-23,66172,1898,PT1H24M44S,64,5084.0,May
48,How To Manifest A NEW REALITY For Yourself In 2022 (Achieve Anything You Want!) | Vanessa Hudgens,2022-05-16,206562,5907,PT1H4M24S,267,3864.0,May
49,Use These DAILY HACKS To Reverse Aging & Live Over 120+ YEARS OLD! | Dave Asprey,2022-05-13,12802,423,PT1H10M30S,25,4230.0,May
50,STOP WAISTING Your Time & Look For These RED FLAGS In A Relationship! | Lily Collins & Jay Shetty,2022-05-06,39608,1207,PT51M12S,40,3072.0,May
51,INSTANTLY BOOST Energy & Focus To Become A PRODUCTIVITY MASTER  | Andrew Huberman & Jay Shetty,2022-05-02,78926,2786,PT1H33M32S,109,5612.0,May
52,Secret Service Agent REVEALS How To Read Anyone & SPOT A LIAR | Evy Poumpouras & Jay Shetty,2022-04-29,20331,805,PT50M42S,29,3042.0,Apr
53,How To Manifest ABUNDANCE & HAPPINESS Into Your Life! | Miranda Kerr & Jay Shetty,2022-04-25,50036,1608,PT52M5S,88,3125.0,Apr
54,WATCH THIS EVERYDAY If You're Single & Want To FIND LOVE | Jay Shetty,2022-04-22,137939,3433,PT1H59M58S,86,7198.0,Apr
55,How To BRAINWASH Yourself For Success & Destroy NEGATIVE THOUGHTS! | Tony Robbins,2022-04-18,532399,15241,PT1H33M42S,392,5622.0,Apr
56,How To MANIFEST Anything You Want In 2022! (Law Of Attraction) | Bob Proctor,2022-04-16,276784,5693,PT1H28M15S,180,5295.0,Apr
57,How To BREAK BAD HABITS & Get 1% Better EVERYDAY | Charles Duhigg,2022-04-11,34673,1229,PT1H14M12S,44,4452.0,Apr
58,How To Break The Addiction To NEGATIVE THOUGHTS & EMOTIONS | Oprah Winfrey,2022-04-09,112789,2956,PT1H49M42S,103,6582.0,Apr
59,How To Destroy Your NEGATIVE THOUGHTS & Achieve Anything You Want | Lilly Singh,2022-04-04,150726,5353,PT1H12M42S,173,4362.0,Apr
60,DO THIS Everyday To Stop Procrastination & NEVER BE LAZY Again | Jay Shetty,2022-04-01,79039,2852,PT1H30M41S,85,5441.0,Apr
61,"How To Manifest ABUNDANCE, SUCCESS, & HAPPINESS Into Your Life | Big Sean & Jay Shetty",2022-03-28,418049,15554,PT1H27M56S,758,5276.0,Mar
62,This KEEPS 90% Of People Single! (BIGGEST DATING MISTAKES) | Matthew Hussey & Jay Shetty,2022-03-24,104284,2563,PT1H34M19S,84,5659.0,Mar
63,"If You Want To Improve Your SELF-ESTEEM & Master Confidence, WATCH THIS! | Olivia Culpo",2022-03-21,53547,1799,PT43M20S,107,2600.0,Mar
64,"If You Feel LOST, LAZY & UNMOTIVATED In Life, WATCH THIS! | Jay Shetty",2022-03-17,281762,7664,PT2H16M54S,235,8214.0,Mar
65,This Is Why You're NOT HAPPY IN Life! (Rediscover Your Passion TODAY!) | Imran Amed & Jay Shetty,2022-03-14,24109,815,PT38M4S,123,2284.0,Mar
66,How To Attract & Manifest ANYTHING YOU WANT In Life! | Will Smith & Jay Shetty,2022-03-11,182761,4377,PT1H53M4S,241,6784.0,Mar
67,Dr Julie Smith ON: Unblocking Negative Emotions & How to Embrace Difficult Feelings,2022-03-07,48943,1552,PT53M3S,91,3183.0,Mar
68,"Lauren London ON: Trauma, Spirituality & How to Recover From Loss",2022-02-28,736018,28456,PT49M30S,1630,2970.0,Feb
69,"Adam Goldston ON: Productivity, Time Management & How To Make Better Decisions",2022-02-21,26396,799,PT1H14M40S,40,4480.0,Feb
70,"Payal Kadakia ON: Imposter Syndrome, Ambition, & How to Succeed While Staying True to Your Passion",2022-02-14,27668,1010,PT51M58S,38,3118.0,Feb
71,Reid Hoffman ON: The Entrepreneur’s Mindset & Why What Got You Here Won’t Get You There,2022-02-07,19952,562,PT57M23S,74,3443.0,Feb
72,Corinne Foxx ON: Coping With Anxiety & Being Kind Even When Life Isn’t,2022-01-31,35380,1241,PT58M26S,73,3506.0,Jan
73,Ryan Holiday ON: Eliminating Fear From Your Life & Push Past Them This Year,2022-01-24,28772,1084,PT1H2M38S,67,3758.0,Jan
74,Dwyane Wade ON: Letting Go of Validation to Become Your Best Self,2022-01-17,67416,2208,PT47M2S,105,2822.0,Jan
75,Ed Winters ON: Every Argument Against Veganism & How to Stop Letting Culture Control Your Diet,2022-01-10,124078,5771,PT1H4M48S,1139,3888.0,Jan
76,We all need to do this 🙌 #shorts,2021-12-31,32037,1891,PT39S,25,39.0,Dec
77,We can’t always be understood 🙏 #shorts,2021-12-30,25323,2087,PT25S,21,25.0,Dec
78,Stop doing this 🛑 #shorts,2021-12-29,27401,1613,PT13S,14,13.0,Dec
79,The #1 skill needed for a long-lasting relationship ❤️ #shorts,2021-12-28,31980,2162,PT21S,15,21.0,Dec
80,Scott O’Neil ON: Quality Time Over Quantity Time & Why Presence is the Key to Deeper Relationships,2021-12-27,40955,1562,PT1H24M22S,94,5062.0,Dec
81,"Next time you’re stressed, try this ❤️ #shorts",2021-12-25,34856,2496,PT19S,18,19.0,Dec
82,Check in on each other ❤️ #shorts,2021-12-24,20967,1307,PT14S,8,14.0,Dec
83,"Before you compare, watch this #shorts",2021-12-23,33636,2190,PT22S,16,22.0,Dec
84,Couldn’t agree more 🙏 #shorts,2021-12-22,16217,974,PT13S,11,13.0,Dec
85,This changes everything ❤️ #shorts,2021-12-21,20123,1251,PT14S,12,14.0,Dec
86,Everyone needs to experience this 🙏 #shorts,2021-12-17,19689,1414,PT21S,9,21.0,Dec
87,Love this perspective 🙏 #shorts,2021-12-16,15798,1324,PT30S,9,30.0,Dec
88,Life shifts ❤️ #shorts,2021-12-15,13148,887,PT20S,6,20.0,Dec
89,"When you seek revenge, you destroy yourself 💯",2021-12-14,13671,1038,PT25S,28,25.0,Dec
90,Maitreyi Ramakrishnan ON: Imposter Syndrome & Navigating Self-Doubt In Any Stage of Your Journey,2021-12-13,81723,2806,PT57M30S,111,3450.0,Dec
91,"Thank you for the reminder, Radhi 😂",2021-12-12,16978,732,PT8S,19,8.0,Dec
