,Title,Published_date,Views,Likes,duration,Comments,durationSecs,Month
40,Controlling Sugar Cravings & Metabolism with Science-Based Tools | Huberman Lab Podcast #64,2022-03-21,692492,17084,PT1H58M56S,1196,7136.0,Mar
41,Using Salt to Optimize Mental & Physical Performance | Huberman Lab Podcast #63,2022-03-14,817017,18398,PT2H3M54S,1371,7434.0,Mar
42,"Dr. Justin Sonnenburg: How to Build, Maintain & Repair Gut Health | Huberman Lab Podcast #62",2022-03-07,734299,16612,PT2H14M39S,1432,8079.0,Mar
43,How to Enhance Your Gut Microbiome for Brain & Overall Health | Huberman Lab Podcast #61,2022-02-28,427816,11443,PT1H52M15S,1113,6735.0,Feb
44,Dr. David Spiegel: Using Hypnosis to Enhance Health & Performance | Huberman Lab Podcast #60,2022-02-21,223853,6610,PT1H52M41S,695,6761.0,Feb
45,"The Science of Love, Desire and Attachment | Huberman Lab Podcast #59",2022-02-14,796467,16067,PT2H35M12S,1123,9312.0,Feb
46,Using Play to Rewire & Improve Your Brain | Huberman Lab Podcast #58,2022-02-07,278660,8507,PT1H46M36S,911,6396.0,Feb
47,"Optimizing Workspace for Productivity, Focus, & Creativity | Huberman Lab Podcast #57",2022-01-31,366716,10766,PT1H41M56S,921,6116.0,Jan
48,Dr. Alia Crum: Science of Mindsets for Health & Performance | Huberman Lab Podcast #56,2022-01-24,373421,12223,PT1H41M3S,915,6063.0,Jan
49,The Science of Setting & Achieving Goals | Huberman Lab Podcast #55,2022-01-17,941520,24618,PT1H54M23S,1529,6863.0,Jan
50,Dr. Jack Feldman: Breathing for Mental & Physical Health & Performance | Huberman Lab Podcast #54,2022-01-10,523514,14117,PT2H23M37S,916,8617.0,Jan
51,The Science of Making & Breaking Habits | Huberman Lab Podcast #53,2022-01-03,2407127,44420,PT1H50M39S,1462,6639.0,Jan
52,Dr. David Sinclair: The Biology of Slowing & Reversing Aging | Huberman Lab Podcast #52,2021-12-27,1469116,41472,PT2H10M43S,3320,7843.0,Dec
53,"Science of Social Bonding in Family, Friendship & Romantic Love | Huberman Lab Podcast #51",2021-12-20,333518,10156,PT1H33M22S,1009,5602.0,Dec
54,Dr. David Berson: Your Brain's Logic & Function | Huberman Lab Podcast #50,2021-12-13,198387,5305,PT1H52M48S,574,6768.0,Dec
55,Erasing Fears & Traumas Based on the Modern Neuroscience of Fear | Huberman Lab Podcast #49,2021-12-06,666906,19545,PT2H13M50S,1696,8030.0,Dec
56,Dr. David Buss: How Humans Select & Keep Romantic Partners in Short & Long Term | Huberman Lab  #48,2021-11-29,502747,15255,PT2H13M2S,2004,7982.0,Nov
57,The Science of Gratitude & How to Build a Gratitude Practice | Huberman Lab Podcast #47,2021-11-22,554108,17490,PT1H25M57S,1433,5157.0,Nov
58,"Time Perception & Entrainment by Dopamine, Serotonin & Hormones | Huberman Lab Podcast #46",2021-11-15,244957,7911,PT1H14M17S,702,4457.0,Nov
59,Dr. Duncan French: How to Exercise for Strength Gains & Hormone Optimization | Huberman Lab #45,2021-11-08,255208,7805,PT1H30M6S,768,5406.0,Nov
60,Using Your Nervous System to Enhance Your Immune System | Huberman Lab Podcast #44,2021-11-01,410725,9885,PT2H32S,1108,7232.0,Nov
61,"Dr. Samer Hattar: Timing Light, Food, & Exercise for Better Sleep, Energy & Mood | Huberman Lab #43",2021-10-25,186799,6102,PT2H14M28S,838,8068.0,Oct
62,Nutrients For Brain Health & Performance | Huberman Lab Podcast #42,2021-10-18,812337,21660,PT1H41M19S,1452,6079.0,Oct
63,Effects of Fasting & Time Restricted Eating on Fat Loss & Health | Huberman Lab Podcast #41,2021-10-11,2059670,51773,PT2H26M7S,3311,8767.0,Oct
64,"Dr. Craig Heller: Using Temperature for Performance, Brain & Body Health | Huberman Lab Podcast #40",2021-10-04,213439,6169,PT1H51M36S,816,6696.0,Oct
65,"Controlling Your Dopamine For Motivation, Focus & Satisfaction | Huberman Lab Podcast #39",2021-09-27,3952780,134177,PT2H16M32S,6474,8192.0,Sep
66,Dr. Matthew Johnson: Psychedelics for Treating Mental Disorders | Huberman Lab Podcast #38,2021-09-20,283089,7227,PT2H52M5S,1167,10325.0,Sep
67,ADHD & How Anyone Can Improve Their Focus | Huberman Lab Podcast #37,2021-09-13,3026446,68583,PT2H18M1S,6237,8281.0,Sep
68,"Healthy Eating & Eating Disorders - Anorexia, Bulimia, Binging | Huberman Lab Podcast #36",2021-09-06,199674,6453,PT2H16M19S,732,8179.0,Sep
69,"Dr. Robert Sapolsky: Science of Stress, Testosterone & Free Will | Huberman Lab Podcast #35",2021-08-30,902409,28598,PT1H29M50S,2424,5390.0,Aug
70,Understanding & Conquering Depression | Huberman Lab Podcast #34,2021-08-23,829019,22052,PT2H2M3S,2186,7323.0,Aug
71,Dr. Anna Lembke: Understanding & Treating Addiction | Huberman Lab Podcast #33,2021-08-16,885759,28528,PT2H2M32S,2981,7352.0,Aug
72,How to Control Your Sense of Pain & Pleasure | Huberman Lab Podcast #32,2021-08-09,209174,6037,PT2H16M12S,689,8172.0,Aug
73,Dr. Matthew Walker: The Science & Practice of Perfecting Your Sleep | Huberman Lab Podcast #31,2021-08-02,991077,24662,PT3H6M6S,1969,11166.0,Aug
74,How to Optimize Your Brain-Body Function & Health | Huberman Lab Podcast #30,2021-07-26,261411,8391,PT1H52M44S,1153,6764.0,Jul
75,"Dr. Lex Fridman: Machines, Creativity & Love | Huberman Lab Podcast #29",2021-07-19,403209,10681,PT3H3M19S,1634,10999.0,Jul
76,"Maximizing Productivity, Physical & Mental Health with Daily Tools | Huberman Lab Podcast #28",2021-07-12,472653,14691,PT2H7M1S,1297,7621.0,Jul
77,"The Science of Hearing, Balance & Accelerated Learning | Huberman Lab Podcast #27",2021-07-05,189749,5718,PT2H3M37S,887,7417.0,Jul
78,Dr. Karl Deisseroth: Understanding & Healing the Mind | Huberman Lab Podcast #26,2021-06-28,255289,8615,PT2H2M6S,926,7326.0,Jun
79,"How Smell, Taste & Pheromone-Like Chemicals Control You | Huberman Lab Podcast #25",2021-06-21,179650,4966,PT1H59M41S,735,7181.0,Jun
80,"The Science of Vision, Eye Health & Seeing Better | Huberman Lab Podcast #24",2021-06-14,985103,27730,PT1H49M38S,2476,6578.0,Jun
81,How To Build Endurance In Your Brain & Body | Huberman Lab Podcast #23,2021-06-07,756090,18040,PT2H5M30S,1235,7530.0,Jun
82,"Science of Muscle Growth, Increasing Strength & Muscular Recovery | Huberman Lab Podcast #22",2021-05-31,2746967,67560,PT2H4M20S,3051,7460.0,May
83,How to Lose Fat with Science-Based Tools | Huberman Lab Podcast #21,2021-05-24,1769700,45900,PT1H53M54S,3014,6834.0,May
84,How to Learn Skills Faster | Huberman Lab Podcast #20,2021-05-17,701720,19089,PT1H52M15S,1544,6735.0,May
85,Supercharge Exercise Performance & Recovery with Cooling | Huberman Lab Podcast #19,2021-05-10,243342,9041,PT1H23M51S,1439,5031.0,May
86,Using Cortisol & Adrenaline to Boost Our Energy & Immune System Function | Huberman Lab Podcast #18,2021-05-03,354309,11038,PT1H46M38S,1278,6398.0,May
87,How to Control Your Metabolism by Thyroid & Growth Hormone | Huberman Lab Podcast #17,2021-04-26,395481,11766,PT1H46M1S,1347,6361.0,Apr
88,"How Our Hormones Control Our Hunger, Eating & Satiety | Huberman Lab Podcast #16",2021-04-19,569186,17562,PT1H39M43S,1569,5983.0,Apr
89,The Science of How to Optimize Testosterone & Estrogen | Huberman Lab Podcast #15,2021-04-12,1176241,33016,PT2H2M47S,2395,7367.0,Apr
90,Reduce Anxiety & Stress with the Physiological Sigh | Huberman Lab Quantal Clip,2021-04-07,238636,12037,PT2M45S,488,165.0,Apr
91,"Biological Influences On Sex, Sex Differences & Preferences | Huberman Lab Podcast #14",2021-04-05,202704,7063,PT1H38M23S,1016,5903.0,Apr
92,The Science of Emotions & Relationships | Huberman Lab Podcast #13,2021-03-29,684240,17821,PT1H41M2S,1134,6062.0,Mar
93,How to Control Stress in Real-Time | Huberman Lab Quantal Clip,2021-03-24,138799,8523,PT2M13S,459,133.0,Mar
94,How to Increase Motivation & Drive | Huberman Lab Podcast #12,2021-03-22,1121711,32944,PT1H29M3S,2086,5343.0,Mar
95,How Foods and Nutrients Control Our Moods | Huberman Lab Podcast #11,2021-03-15,752745,23488,PT1H44M8S,1934,6248.0,Mar
96,Tools for Managing Stress & Anxiety | Huberman Lab Podcast #10,2021-03-08,750859,24473,PT1H38M24S,1854,5904.0,Mar
97,Control Pain & Heal Faster with Your Brain | Huberman Lab Podcast #9,2021-03-01,264907,9328,PT1H37M58S,1117,5878.0,Mar
98,Optimize Your Learning & Creativity with Science-based Tools | Huberman Lab Podcast #8,2021-02-22,357684,12473,PT1H30M35S,1374,5435.0,Feb
99,"Using Failures, Movement & Balance to Learn Faster | Huberman Lab Podcast #7",2021-02-15,672022,25211,PT1H28M6S,2372,5286.0,Feb
100,How to Focus to Change Your Brain | Huberman Lab Podcast #6,2021-02-08,1106199,37121,PT1H29M43S,2962,5383.0,Feb
101,Understanding and Using Dreams to Learn and to Forget | Huberman Lab Podcast #5,2021-02-01,399244,13618,PT1H17M50S,1576,4670.0,Feb
102,"Find Your Temperature Minimum to Defeat Jetlag, Shift Work & Sleeplessness | Huberman Lab Podcast #4",2021-01-25,290739,9120,PT1H50M56S,1265,6656.0,Jan
103,"Using Science to Optimize Sleep, Learning & Metabolism | Huberman Lab Podcast #3",2021-01-18,897952,28184,PT1H41M26S,1853,6086.0,Jan
104,Master Your Sleep & Be More Alert When Awake | Huberman Lab Podcast #2,2021-01-11,1975949,63071,PT1H22M5S,4169,4925.0,Jan
105,How Your Nervous System Works & Changes | Huberman Lab Podcast #1,2021-01-04,908840,41766,PT1H2M31S,2742,3751.0,Jan
106,Welcome to the Huberman Lab Podcast,2020-12-23,390316,11875,PT4M23S,2226,263.0,Dec
